Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU05515	NCU05515-t26_1	Neurospora crassa OR74A	mitochondrial import inner membrane translocase subunit tim16	un-4	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	N/A	N/A	GO:0030150	protein import into mitochondrial matrix	GO:0005744;GO:0005739	TIM23 mitochondrial import inner membrane translocase complex;mitochondrion	N/A	N/A	GO:0035556;GO:0030150	intracellular signal transduction;protein import into mitochondrial matrix
NCU05516	NCU05516-t26_1	Neurospora crassa OR74A	biotin-2	bio-2	GO:0005737	cytoplasm	GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity	GO:0009305	protein biotinylation	N/A	N/A	GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity	GO:0006464	cellular protein modification process
NCU05517	NCU05517-t26_1	Neurospora crassa OR74A	mitochondrial genome maintenance-1	mgm-1	GO:0042645	mitochondrial nucleoid	GO:0003677	DNA binding	GO:0036297;GO:0000002;GO:0000733;GO:0000725	interstrand cross-link repair;mitochondrial genome maintenance;obsolete DNA strand renaturation;recombinational repair	GO:0000262;GO:0005739	mitochondrial chromosome;mitochondrion	GO:0003677;GO:0003697	DNA binding;single-stranded DNA binding	GO:0006281;GO:0006260;GO:0000002	DNA repair;DNA replication;mitochondrial genome maintenance
NCU05518	NCU05518-t26_1	Neurospora crassa OR74A	peroxisomal copper amine oxidase	cuo-3	N/A	N/A	GO:0005507;GO:0008131	copper ion binding;primary amine oxidase activity	GO:0009308;GO:0034599	amine metabolic process;cellular response to oxidative stress	GO:0005737	cytoplasm	GO:0005507;GO:0008131;GO:0048038	copper ion binding;primary amine oxidase activity;quinone binding	GO:0009309;GO:0009308;GO:0055114	amine biosynthetic process;amine metabolic process;obsolete oxidation-reduction process
NCU05519	NCU05519-t26_1	Neurospora crassa OR74A	MFS transporter	N/A	GO:0031224	intrinsic component of membrane	GO:0022857	transmembrane transporter activity	N/A	N/A	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport
NCU05520	NCU05520-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05521	NCU05521-t26_1	Neurospora crassa OR74A	pathogenicity protein, pathogenicity protein, variant 1	N/A	GO:0071782;GO:0016020	endoplasmic reticulum tubular network;membrane	N/A	N/A	GO:0034599;GO:0071786	cellular response to oxidative stress;endoplasmic reticulum tubular network organization	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05521	NCU05521-t26_2	Neurospora crassa OR74A	pathogenicity protein, pathogenicity protein, variant 1	N/A	GO:0071782;GO:0016020	endoplasmic reticulum tubular network;membrane	N/A	N/A	GO:0071786	endoplasmic reticulum tubular network organization	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05522	NCU05522-t26_1	Neurospora crassa OR74A	PaaI thioesterase	N/A	N/A	N/A	GO:0047617	acyl-CoA hydrolase activity	N/A	N/A	N/A	N/A	GO:0047617	acyl-CoA hydrolase activity	N/A	N/A
NCU05523	NCU05523-t26_1	Neurospora crassa OR74A	transcription factor-11	tcf-11	GO:0000439;GO:0005675	transcription factor TFIIH core complex;transcription factor TFIIH holo complex	GO:0003690	double-stranded DNA binding	GO:0006289;GO:0070816	nucleotide-excision repair;phosphorylation of RNA polymerase II C-terminal domain	GO:0000439	transcription factor TFIIH core complex	GO:0001671	ATPase activator activity	GO:0006289	nucleotide-excision repair
NCU05524	NCU05524-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05525	NCU05525-t26_1	Neurospora crassa OR74A	DUF833 domain-containing protein	N/A	GO:0005794	Golgi apparatus	N/A	N/A	GO:0007030;GO:0009306	Golgi organization;protein secretion	N/A	N/A	N/A	N/A	N/A	N/A
NCU05526	NCU05526-t26_1	Neurospora crassa OR74A	homocitrate synthase, variant 2, Homocitrate synthase, homocitrate synthase, variant 1	lys-5	N/A	N/A	GO:0004410	homocitrate synthase activity	GO:0019878	lysine biosynthetic process via aminoadipic acid	N/A	N/A	GO:0046912;GO:0003824;GO:0004410	acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity;homocitrate synthase activity	GO:0019752;GO:0019878	carboxylic acid metabolic process;lysine biosynthetic process via aminoadipic acid
NCU05526	NCU05526-t26_2	Neurospora crassa OR74A	homocitrate synthase, variant 2, Homocitrate synthase, homocitrate synthase, variant 1	lys-5	N/A	N/A	GO:0004410	homocitrate synthase activity	GO:0019878	lysine biosynthetic process via aminoadipic acid	N/A	N/A	GO:0046912;GO:0003824;GO:0004410	acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity;homocitrate synthase activity	GO:0019752;GO:0019878	carboxylic acid metabolic process;lysine biosynthetic process via aminoadipic acid
NCU05526	NCU05526-t26_3	Neurospora crassa OR74A	homocitrate synthase, variant 2, Homocitrate synthase, homocitrate synthase, variant 1	lys-5	GO:0005739;GO:0005634	mitochondrion;nucleus	GO:0004410	homocitrate synthase activity	GO:0019878	lysine biosynthetic process via aminoadipic acid	GO:0005739	mitochondrion	GO:0046912;GO:0003824	acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity	GO:0005975;GO:0019752;GO:0009085	carbohydrate metabolic process;carboxylic acid metabolic process;lysine biosynthetic process
NCU05527	NCU05527-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05528	NCU05528-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05529	NCU05529-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05530	NCU05530-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05531	NCU05531-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05532	NCU05532-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05534	NCU05534-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05535	NCU05535-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05536	NCU05536-t26_1	Neurospora crassa OR74A	hypothetical protein	sgr-19	GO:0034456;GO:0005737;GO:0005956	UTP-C complex;cytoplasm;protein kinase CK2 complex	GO:0019887;GO:0030291	protein kinase regulator activity;protein serine/threonine kinase inhibitor activity	GO:0006974;GO:0035690;GO:0018105;GO:0006356	cellular response to DNA damage stimulus;cellular response to drug;peptidyl-serine phosphorylation;regulation of transcription by RNA polymerase I	GO:0042025;GO:0005634;GO:0005956	host cell nucleus;nucleus;protein kinase CK2 complex	GO:0003677;GO:0000981;GO:0019887;GO:0008270	DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;protein kinase regulator activity;zinc ion binding	GO:0006355;GO:0006351	regulation of transcription, DNA-templated;transcription, DNA-templated
NCU05537	NCU05537-t26_1	Neurospora crassa OR74A	fumarylacetoacetate hydrolase-1	fah-1	N/A	N/A	GO:0004334	fumarylacetoacetase activity	GO:0006559;GO:0034599;GO:1902000;GO:0006572	L-phenylalanine catabolic process;cellular response to oxidative stress;homogentisate catabolic process;tyrosine catabolic process	N/A	N/A	GO:0003824;GO:0004334;GO:0046872	catalytic activity;fumarylacetoacetase activity;metal ion binding	GO:0009072;GO:0006572	aromatic amino acid family metabolic process;tyrosine catabolic process
NCU05538	NCU05538-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05539	NCU05539-t26_1	Neurospora crassa OR74A	2',3'-cyclic-nucleotide 3'-phosphodiesterase, variant 1, 2',3'-cyclic-nucleotide 3'-phosphodiesterase	cpd-7	N/A	N/A	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	GO:0009187	cyclic nucleotide metabolic process	GO:0005794	Golgi apparatus	GO:0004112	cyclic-nucleotide phosphodiesterase activity	N/A	N/A
NCU05539	NCU05539-t26_2	Neurospora crassa OR74A	2',3'-cyclic-nucleotide 3'-phosphodiesterase, variant 1, 2',3'-cyclic-nucleotide 3'-phosphodiesterase	cpd-7	N/A	N/A	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	GO:0009187	cyclic nucleotide metabolic process	GO:0005794	Golgi apparatus	GO:0004112	cyclic-nucleotide phosphodiesterase activity	N/A	N/A
NCU05540	NCU05540-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05541	NCU05541-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05542	NCU05542-t26_1	Neurospora crassa OR74A	xanthine phosphoribosyltransferase-1	xpt-1	GO:0005737	cytoplasm	GO:0004422;GO:0004615;GO:0000310	hypoxanthine phosphoribosyltransferase activity;phosphomannomutase activity;xanthine phosphoribosyltransferase activity	GO:0032263;GO:0032264;GO:0032265;GO:0046100	GMP salvage;IMP salvage;XMP salvage;hypoxanthine metabolic process	N/A	N/A	N/A	N/A	GO:0009116;GO:0006163	nucleoside metabolic process;purine nucleotide metabolic process
NCU05543	NCU05543-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05544	NCU05544-t26_1	Neurospora crassa OR74A	dolichyl-phosphate mannosyltransferase-3	dpm-3	GO:0033185	dolichol-phosphate-mannose synthase complex	N/A	N/A	GO:0006506	GPI anchor biosynthetic process	GO:0005783;GO:0005789;GO:0016021	endoplasmic reticulum;endoplasmic reticulum membrane;integral component of membrane	GO:0016757;GO:0005515	glycosyltransferase activity;protein binding	GO:0005975;GO:0097502;GO:0006486	carbohydrate metabolic process;mannosylation;protein glycosylation
NCU05544	NCU05544-t26_2	Neurospora crassa OR74A	dolichyl-phosphate mannosyltransferase-3	dpm-3	GO:0033185	dolichol-phosphate-mannose synthase complex	N/A	N/A	GO:0006506	GPI anchor biosynthetic process	GO:0005789;GO:0016021	endoplasmic reticulum membrane;integral component of membrane	GO:0016757	glycosyltransferase activity	GO:0097502;GO:0006486	mannosylation;protein glycosylation
NCU05545	NCU05545-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU05546	NCU05546-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0016021;GO:0005887	integral component of membrane;integral component of plasma membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	GO:0022857	transmembrane transporter activity	GO:0015893;GO:0055085	drug transport;transmembrane transport
NCU05547	NCU05547-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05548	NCU05548-t26_1	Neurospora crassa OR74A	phospho-2-dehydro-3-deoxyheptonate aldolase	aro-6	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	GO:0009073	aromatic amino acid family biosynthetic process	N/A	N/A	GO:0003849;GO:0003824	3-deoxy-7-phosphoheptulonate synthase activity;catalytic activity	GO:0009073;GO:0009058;GO:0006520	aromatic amino acid family biosynthetic process;biosynthetic process;cellular amino acid metabolic process
NCU05550	NCU05550-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05551	NCU05551-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05552	NCU05552-t26_1	Neurospora crassa OR74A	hypothetical protein	mrp-60	GO:0005762;GO:0005761	mitochondrial large ribosomal subunit;mitochondrial ribosome	GO:0003735	structural constituent of ribosome	GO:0034599;GO:0006412	cellular response to oxidative stress;translation	GO:0005739;GO:0005840	mitochondrion;ribosome	N/A	N/A	N/A	N/A
NCU05553	NCU05553-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005829	cytosol	N/A	N/A	GO:0043547	positive regulation of GTPase activity	N/A	N/A	GO:0005096	GTPase activator activity	GO:0043547	positive regulation of GTPase activity
NCU05554	NCU05554-t26_1	Neurospora crassa OR74A	60S ribosomal protein L13	un-25	GO:0022625;GO:0009514	cytosolic large ribosomal subunit;glyoxysome	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0000723;GO:0006412	telomere maintenance;translation	GO:0005737;GO:0005840	cytoplasm;ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation
NCU05555	NCU05555-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005694	chromosome	N/A	N/A	N/A	N/A
NCU05556	NCU05556-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05557	NCU05557-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05558	NCU05558-t26_1	Neurospora crassa OR74A	ketoacyl thiolase-3	kat-3	GO:0005739;GO:0005777	mitochondrion;peroxisome	GO:0003988	acetyl-CoA C-acyltransferase activity	GO:0006635;GO:0010124	fatty acid beta-oxidation;phenylacetate catabolic process	GO:0005777	peroxisome	GO:0016747;GO:0003824	acyltransferase activity, transferring groups other than amino-acyl groups;catalytic activity	GO:0019395;GO:0006629	fatty acid oxidation;lipid metabolic process
NCU05559	NCU05559-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05560	NCU05560-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0035091	phosphatidylinositol binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05561	NCU05561-t26_1	Neurospora crassa OR74A	copper metallothionein	cmt	N/A	N/A	GO:0016531;GO:0005507	copper chaperone activity;copper ion binding	GO:0046688	response to copper ion	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A
NCU05563	NCU05563-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05564	NCU05564-t26_1	Neurospora crassa OR74A	peroxisomal membrane protein PEX31, variant 1, peroxisomal membrane protein PEX31, variant 2, peroxisomal membrane protein PEX31	pex31	GO:0009514;GO:0005779	glyoxysome;integral component of peroxisomal membrane	N/A	N/A	GO:0007031	peroxisome organization	GO:0016021;GO:0005777	integral component of membrane;peroxisome	N/A	N/A	GO:0007031	peroxisome organization
NCU05564	NCU05564-t26_2	Neurospora crassa OR74A	peroxisomal membrane protein PEX31, variant 1, peroxisomal membrane protein PEX31, variant 2, peroxisomal membrane protein PEX31	pex31	GO:0009514	glyoxysome	N/A	N/A	N/A	N/A	GO:0016021;GO:0005778	integral component of membrane;peroxisomal membrane	N/A	N/A	N/A	N/A
NCU05564	NCU05564-t26_3	Neurospora crassa OR74A	peroxisomal membrane protein PEX31, variant 1, peroxisomal membrane protein PEX31, variant 2, peroxisomal membrane protein PEX31	pex31	GO:0009514	glyoxysome	N/A	N/A	N/A	N/A	GO:0016021;GO:0005778	integral component of membrane;peroxisomal membrane	N/A	N/A	N/A	N/A
NCU05565	NCU05565-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05565	NCU05565-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05566	NCU05566-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05567	NCU05567-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05568	NCU05568-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05569	NCU05569-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05570	NCU05570-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05571	NCU05571-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05572	NCU05572-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05574	NCU05574-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0008080	N-acetyltransferase activity	N/A	N/A
NCU05574	NCU05574-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0008080	N-acetyltransferase activity	N/A	N/A
NCU05575	NCU05575-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU05576	NCU05576-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05577	NCU05577-t26_1	Neurospora crassa OR74A	Beta-glucosidase	gh3-5	N/A	N/A	GO:0008422	beta-glucosidase activity	GO:0034599;GO:0009251	cellular response to oxidative stress;glucan catabolic process	N/A	N/A	GO:0004553;GO:0102483	hydrolase activity, hydrolyzing O-glycosyl compounds;scopolin beta-glucosidase activity	GO:0005975;GO:0030245;GO:0009313	carbohydrate metabolic process;cellulose catabolic process;oligosaccharide catabolic process
NCU05578	NCU05578-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0009514	glyoxysome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05579	NCU05579-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05580	NCU05580-t26_1	Neurospora crassa OR74A	membrane transporter	N/A	GO:0000329;GO:0005887	fungal-type vacuole membrane;integral component of plasma membrane	GO:0042910	xenobiotic transmembrane transporter activity	GO:0006855	xenobiotic transmembrane transport	N/A	N/A	GO:0022857	transmembrane transporter activity	GO:0015893;GO:0055085	drug transport;transmembrane transport
NCU05581	NCU05581-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05582	NCU05582-t26_1	Neurospora crassa OR74A	ubiquitin-4	ubi-4	GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	GO:0031593	polyubiquitin modification-dependent protein binding	GO:0071712;GO:0034599;GO:0030433	ER-associated misfolded protein catabolic process;cellular response to oxidative stress;ubiquitin-dependent ERAD pathway	N/A	N/A	N/A	N/A	GO:0043609;GO:0006511	regulation of carbon utilization;ubiquitin-dependent protein catabolic process
NCU05583	NCU05583-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU05584	NCU05584-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016020	membrane	GO:0004190;GO:0005044	aspartic-type endopeptidase activity;scavenger receptor activity	GO:0030163;GO:0006508	protein catabolic process;proteolysis
NCU05585	NCU05585-t26_1	Neurospora crassa OR74A	MFS quinate transporter	mfs-12	N/A	N/A	GO:0005351	carbohydrate:proton symporter activity	GO:0046323	glucose import	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0008643;GO:0055085	carbohydrate transport;transmembrane transport
NCU05586	NCU05586-t26_1	Neurospora crassa OR74A	malate/L-lactate dehydrogenase, variant 1, malate/L-lactate dehydrogenase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0005975;GO:0055114;GO:0006099	carbohydrate metabolic process;obsolete oxidation-reduction process;tricarboxylic acid cycle
NCU05586	NCU05586-t26_2	Neurospora crassa OR74A	malate/L-lactate dehydrogenase, variant 1, malate/L-lactate dehydrogenase	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0055114	obsolete oxidation-reduction process
NCU05587	NCU05587-t26_1	Neurospora crassa OR74A	actin-like protein arp-6, variant 1, actin-like protein arp-6	arp6	GO:0000812	Swr1 complex	GO:0031491	nucleosome binding	GO:0043486	histone exchange	GO:0015629;GO:0005737;GO:0005856;GO:0005634	actin cytoskeleton;cytoplasm;cytoskeleton;nucleus	N/A	N/A	GO:0030036;GO:0006338	actin cytoskeleton organization;chromatin remodeling
NCU05587	NCU05587-t26_2	Neurospora crassa OR74A	actin-like protein arp-6, variant 1, actin-like protein arp-6	arp6	GO:0000812	Swr1 complex	GO:0031491	nucleosome binding	GO:0043486	histone exchange	GO:0005737;GO:0005856;GO:0005634	cytoplasm;cytoskeleton;nucleus	N/A	N/A	GO:0006338	chromatin remodeling
NCU05588	NCU05588-t26_1	Neurospora crassa OR74A	topoisomerase TRF4	dnt-4	GO:0031499;GO:0005730	TRAMP complex;nucleolus	GO:0004652	polynucleotide adenylyltransferase activity	GO:0071044;GO:0071050	histone mRNA catabolic process;sno(s)RNA polyadenylation	N/A	N/A	GO:0016853;GO:0046872;GO:0016779	isomerase activity;metal ion binding;nucleotidyltransferase activity	N/A	N/A
NCU05589	NCU05589-t26_1	Neurospora crassa OR74A	sip-5	sip-5	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0005737	cytoplasm	GO:0005515	protein binding	GO:0043609	regulation of carbon utilization
NCU05591	NCU05591-t26_1	Neurospora crassa OR74A	ABC transporter CDR4	abc-5	N/A	N/A	GO:1901474	azole transmembrane transporter activity	GO:0045117;GO:0015903;GO:0060992	azole transmembrane transport;fluconazole transport;response to fungicide	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0005524;GO:0016887;GO:0042626	ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity	GO:0015893;GO:0055085	drug transport;transmembrane transport
NCU05592	NCU05592-t26_1	Neurospora crassa OR74A	ubiquitin-conjugating enzyme-2	uce-2	GO:0005783;GO:0005789;GO:0005634	endoplasmic reticulum;endoplasmic reticulum membrane;nucleus	GO:0061631;GO:0004842	ubiquitin conjugating enzyme activity;ubiquitin-protein transferase activity	GO:0000209;GO:0030433	protein polyubiquitination;ubiquitin-dependent ERAD pathway	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU05593	NCU05593-t26_1	Neurospora crassa OR74A	mitochondrial outer membrane beta-barrel protein Tob55, variant 1, mitochondrial outer membrane beta-barrel protein Tob55, mitochondrial outer membrane beta-barrel protein Tob55, variant 2	tob55	GO:0001401;GO:0016021;GO:0031966;GO:0005741	SAM complex;integral component of membrane;mitochondrial membrane;mitochondrial outer membrane	N/A	N/A	GO:0034622;GO:0045040;GO:0065003	cellular protein-containing complex assembly;protein insertion into mitochondrial outer membrane;protein-containing complex assembly	GO:0019867	outer membrane	N/A	N/A	N/A	N/A
NCU05593	NCU05593-t26_2	Neurospora crassa OR74A	mitochondrial outer membrane beta-barrel protein Tob55, variant 1, mitochondrial outer membrane beta-barrel protein Tob55, mitochondrial outer membrane beta-barrel protein Tob55, variant 2	tob55	N/A	N/A	N/A	N/A	N/A	N/A	GO:0019867	outer membrane	N/A	N/A	N/A	N/A
NCU05593	NCU05593-t26_3	Neurospora crassa OR74A	mitochondrial outer membrane beta-barrel protein Tob55, variant 1, mitochondrial outer membrane beta-barrel protein Tob55, mitochondrial outer membrane beta-barrel protein Tob55, variant 2	tob55	N/A	N/A	N/A	N/A	N/A	N/A	GO:0019867	outer membrane	N/A	N/A	N/A	N/A
NCU05594	NCU05594-t26_1	Neurospora crassa OR74A	L-galactose dehydrogenase	N/A	GO:0005829	cytosol	GO:0045290;GO:0016491	D-arabinose 1-dehydrogenase [NAD(P)+] activity;oxidoreductase activity	GO:0070485;GO:0009416	dehydro-D-arabinono-1,4-lactone biosynthetic process;response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU05595	NCU05595-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000272	polysaccharide catabolic process
NCU05596	NCU05596-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	N/A	N/A
NCU05597	NCU05597-t26_1	Neurospora crassa OR74A	ascus development protein 3	asd-3	N/A	N/A	GO:0005351	carbohydrate:proton symporter activity	GO:0046323	glucose import	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0019236;GO:0055085	response to pheromone;transmembrane transport
NCU05598	NCU05598-t26_1	Neurospora crassa OR74A	rhamnogalacturonase B	asd-1	N/A	N/A	GO:0016837	carbon-oxygen lyase activity, acting on polysaccharides	GO:0034599;GO:0045490;GO:0000909	cellular response to oxidative stress;pectin catabolic process;sporocarp development involved in sexual reproduction	GO:0005576	extracellular region	GO:0030246;GO:0016837;GO:0003824;GO:0102210	carbohydrate binding;carbon-oxygen lyase activity, acting on polysaccharides;catalytic activity;rhamnogalacturonan endolyase activity	GO:0005975;GO:0071555	carbohydrate metabolic process;cell wall organization
